company,domain,city,state,category,company_email
CTME Machine Repair,ctmemachinerepair.com,Kentwood,Louisiana,Machine shop,chris@ctmemachine.com
All Fabrications,allfabricationinc.com,Houma,Louisiana,Welder,allfabrication@bellsouth.net
Tri-State Environmental LLC,tristateoffshore.com,Houma,Louisiana,Oil field equipment supplier,jcarter@tristateoffshore.com
Delta Energy Distribution,deltaenergydistribution.com,Mansfield,Louisiana,Oilfield,
H & W Machine LLC,hwmachinellc.com,Zachary,Louisiana,Machine shop,edwinlgarig@hwmachinellc.com
Bowen Manufacturing Co LLC,bowen-mfg.com,Arcadia,Louisiana,Manufacturer,
K&B Industries,kb-industries.com,Houma,Louisiana,Manufacturer,
AFCO Industries Inc.,afco-ind.com,Alexandria,Louisiana,Manufacturer,plans@afco-ind.com
CheckPoint Fabrication,cpfabrication.com,Marrero,Louisiana,Steel fabricator,
Moss Bluff Millworks,mossbluffmillworks.com,,,Cabinet maker,
Gulf Island,gulfisland.com,Houma,Louisiana,Metal fabricator,sales@gulfisland.com
Plant Machine Works,plantmachineworks.com,Baton Rouge,Louisiana,Manufacturer,info@plantmachineworks.com
International Packaging Company,internationalpack.com,Harvey,Louisiana,Industrial equipment supplier,
NOLA Steele Fabrication and Erection,nolasteelefab.com,Harvey,Louisiana,Steel fabricator,kwilliams@nolasteelefab.com
Mid Parish Machine,midparishmachine.com,Independence,Louisiana,Machine shop,
Adams Equipment & Machine Shop,adamsmachine.com,Abita Springs,Louisiana,Machine shop,
All Service Machine Shop,allservicemachineshop.com,Chalmette,Louisiana,Machine shop,
Unistar Plastics,unistarplastics.com,Harahan,Louisiana,Plastic fabrication company,customerservice@unistarplastics.com
"D&SD Services, LLC",dbpnllc.com,Chauvin,Louisiana,Metal fabricator,
Bienville Lumber,bienvillelumber.com,Gibsland,Louisiana,Manufacturer,hr@bienvillelumber.com
"Accurate Components, Inc.",accuratecomponents.com,Denham Springs,Louisiana,Machine shop,
Gordon's Machine Shop,gordonsmachineshop.com,Houma,Louisiana,Machine shop,
Integrity Oilfield Services LLC,integrityoilfieldservices.com,Gray,Louisiana,Oilfield,info@integrityoilfieldservices.com
Fab-Con Dock,fab-con.net,Venice,Louisiana,Metal fabricator,
KLX Energy Services,klxenergy.com,Bossier City,Louisiana,Oilfield,jobs@klx.com
Boquet Machine Services,boquetmachine.com,Houma,Louisiana,Machine shop,maureen@boquetmachine.com
Bayou Sheet Metal,bsmshouma.com,Houma,Louisiana,Sheet metal contractor,gene@bsmshouma.com
Works Steel Manufacturing LLC,workssteelmanufacturing.com,Baton Rouge,Louisiana,Metal fabricator,rodt@workssteelmanufacturing.com
"Baton Rouge Machine Works, LLC",brmachineworks.com,Baton Rouge,Louisiana,Machine shop,dflint@inplace.com
Bluewater Rubber & Gasket Co,bluewaterrubber.com,Galliano,Louisiana,Marine supply store,
Glenco Machine Shop,glencoofhouma.com,Houma,Louisiana,Machine shop,james@glencoofhouma.com
"Crescent Energy Services, LLC",crescentes.com,Belle Chasse,Louisiana,Oilfield,info@crescentes.com
Offshore Liftboats LLC,offshoreliftboats.com,Cut Off,Louisiana,Oilfield,
C-Terminal,chouest.com,Golden Meadow,Louisiana,Oilfield,
K&T oilfield services,kt-ofs.com,Bossier City,Louisiana,Oilfield,
Stranco Rental & Repair,istranco.com,Houma,Louisiana,Oil field equipment supplier,
CMC Marine Terminal,morrisonenergy.com,Golden Meadow,Louisiana,Oilfield,info@morrisonenergy.com
"Whitetail Oilfield Services, LLC",whitetailoil.com,Houma,Louisiana,General contractor,
"SSE Steel Fabrication (formerly Southern Services & Equipment, Inc.)",sse-la.com,St Bernard,Louisiana,Steel fabricator,info@sse-la.com
Custom Retail Store Fixtures,rsfixtures.com,Shreveport,Louisiana,Millwork shop,smith.john@rsfixtures.com
Louisiana Environmental Transportation Services,letservices.us,Larose,Louisiana,Oil field equipment supplier,logistics@tankspecialties.us
Extreme Welding Service,extremeweldingservice.com,Galliano,Louisiana,Welder,
Swire Energy Services LLC,swirees.com,Golden Meadow,Louisiana,Oil field equipment supplier,uk@sesenergy.com
Delco Fabrication,delcofab.com,New Orleans,Louisiana,Metal fabricator,marco@delcofab.com
Downtown FabWorks,downtownfabworks.com,New Orleans,Louisiana,Metal fabricator,careers@downtownfabworks.com
CSP,thecsp.com,Sarepta,Louisiana,Plastic fabrication company,
Patton Industrial Services,pattonind.com,Shreveport,Louisiana,Cleaning products supplier,info@pattonindustrialservices.com
"Pioneer Production Services, Inc.",pioneerprod.net,Lockport,Louisiana,Oilfield,pioneer@pioneerprod.net
Roussel Fabrication,rousselfabrication.com,Lutcher,Louisiana,Metal fabricator,
Oilfield Industrial Supply,shopois.com,Shreveport,Louisiana,Oil and gas exploration service,
Quality welding repair,qualityequipmentrepair.com,Harvey,Louisiana,Repair service,
M M Plastics Manufacturing Inc,mmplastics.net,Morgan City,Louisiana,Plastic fabrication company,
Bayou Office Machines,bayouoffice.com,Larose,Louisiana,Office equipment supplier,sales@bayouoffice.com
Southside Machine Works Inc,southsidemachineworks.com,Lake Charles,Louisiana,Machine shop,
"Superior Ironworkz, LLC.",superiorironworkz.com,Campti,Louisiana,Metal fabricator,
PH Machine Works,phmachineworks.com,Lake Charles,Louisiana,Machine shop,
Carollo Metal Works,carollometalworks.com,Chalmette,Louisiana,Metal fabricator,
Custom Fiberglass Products Inc,customfrp.com,Minden,Louisiana,Plastic fabrication company,paul@customfrp.com
Brammer Machine Shop,brammermachine.com,Crowley,Louisiana,Machine shop,info@brammermachingshop.com
Southland Industrial Coatings/Grid Structures,gridstructures.com,Amite City,Louisiana,Manufacturer,sales@gridstructures.com
Service Machine & Supply Inc,servicemachinesupply.com,Duson,Louisiana,Machine shop,sales@servicemachinesupply.com
Amcor Flexibles North America - Shield Pack,amcor.com,West Monroe,Louisiana,Manufacturer,ernesto.duran@amcor.com
Amcor,berryglobal.com,Monroe,Louisiana,Plastic fabrication company,ernesto.duran@amcor.com
OEG - Port Fourchon,oegoffshore.com,Golden Meadow,Louisiana,Oil field equipment supplier,
Offshore Energy Services,offshoreenergyservices.com,Oil City,Louisiana,Oilfield,info@offshorees.com
South Coast Industrial Services,southcoastind.com,Sulphur,Louisiana,Metal fabricator,jbrown@southcoastind.com
Ironclad Fabrication Company,ironcladfabricationco.com,,,Metal fabricator,
"DeHart Shipyard, LLC",dehartshipyard.com,Abbeville,Louisiana,Metal fabricator,
"Air, Land & Sea Oil Field Service, LLC",alsoilfieldservice.com,Covington,Louisiana,Oil field equipment supplier,info@alsoilfieldservice.com
"Navarre Fabrication, Inc.",navarrefab.com,Lafayette,Louisiana,Metal fabricator,
Bergeron Machine Shop Inc,bmachineshop.com,Abbeville,Louisiana,Machine shop,ryan@bmachineshop.com
TC Welding & Fabrication,tcweldandfab.com,Carencro,Louisiana,,
Augusta's Custom Fab and Build Inc.,augustafab.com,Gretna,Louisiana,Metal fabricator,
Exco Industrial Inc,exco.com,Egan,Louisiana,Machine shop,
Xcel Machining & Supply Inc,xcel.ws,Sulphur,Louisiana,Machine shop,
Digital Machining Systems,digitalmachining.com,Duson,Louisiana,Machine shop,
Acadian Contractors Inc,acadiancontractors.com,Abbeville,Louisiana,Metal fabricator,
"Gly-Tech Services, Inc.",glytech.com,Hammond,Louisiana,Oilfield,info@glytech.com
Nu-Tec Machine Inc,nutecinc.com,Lake Charles,Louisiana,Machine shop,
"AWG, Gases & Welding Supplies",awggases.com,Sulphur,Louisiana,Industrial gas supplier,customerservice@awggases.com
LynqAuto,lynqauto.com,Covington,Louisiana,Auto machine shop,
"Guidry Welding, Inc",guidrywelding.com,Duson,Louisiana,Welder,
Grand Isle Shipyard: Franklinton,gisy.com,Franklinton,Louisiana,Oilfield,
SCAFFSOURCE,brockgroup.com,Sulphur,Louisiana,Metal fabricator,
Canal Energy & Services,canalenergy.com,Bogalusa,Louisiana,Heating equipment supplier,
RichLyn Customs,richlyncustoms.com,Church Point,Louisiana,Metal fabricator,richard@richlyncustoms.com
Gator Detailing Products & SE Auto Products,seautoproducts.com,Shreveport,Louisiana,Chemical manufacturer,support@seautoproducts.com
Quality Fab & Mechanical Contractors LLC,qualityfab.com,St Rose,Louisiana,Machine shop,
Core Plastech International Inc.,coreplastech.com,Shreveport,Louisiana,Manufacturer,info@coreplastech.com
Portable Repair Services,portablerepairservices.com,Crowley,Louisiana,Metal fabricator,
Geaux Welding & Fabrication LLC,colllinsavant.wixsite.com,Belle Chasse,Louisiana,Metal fabricator,colllinsavant@icloud.com
Precision Laser Cutting,plcutting.com,Rayne,Louisiana,Manufacturer,toby@plcutting.com
Angelle Fabrication,angellefabrication.com,Lafayette,Louisiana,Manufacturer,
Southern Fab,southernfab.com,Houma,Louisiana,Steel fabricator,blaineh@southernfab.com
"Gulf Machine Shop, Inc.",gulfmachineshop.com,Lake Charles,Louisiana,Machine shop,
Trouth Air Conditioning & Sheet Metal,trouthairconditioning.com,Sulphur,Louisiana,Air conditioning repair service,
"The Pipe Shop, Inc.",thepipeshopinc.com,Kentwood,Louisiana,Building materials store,mab22@thepipeshopinc.com
McGill Precision Waterjet LLC,mcgillprecisionwaterjet.com,Lafayette,Louisiana,Machine shop,
Thomas Industrial Mechanical,thomasiandm.com,Franklinton,Louisiana,Contractor,steve.thomas@thomasiandm.com
"Pat Miller Welding, Inc. & Specialty Supply",patmillerweldinginc.com,Sunset,Louisiana,Welder,
C & C Machine Shop,ccmachineshop.com,Harvey,Louisiana,Machine shop,pbilich@ccmachineshop.com
Metal Craft Welding,metalcraft-welding.com,,,Metal fabricator,
Gordon Incorporated,gordon-inc.com,Bossier City,Louisiana,Manufacturer,sales@truformprofiles.com
Elite Manufacturing Systems,elitemanufacturingsystems.com,Lake Charles,Louisiana,Manufacturer,chad@elitemanufacturingsystems.com
Ferguson Industrial,ferguson.com,Sulphur,Louisiana,Industrial equipment supplier,customer.support@ferguson.com
Lane Custom Metal Inc,lanecustommetal.com,Lafayette,Louisiana,Metal fabricator,
"INNERFUSE ID WELDING, LLC",innerfuseidwelding.com,Hammond,Louisiana,Welder,williamlee@innerfuseidwelding.com
Arsement Machine Supply,arsementmachine.com,Carencro,Louisiana,Machine shop,arsementmachines@bellsouth.net
Slurry Dynamics,slurrydynamics.com,Hammond,Louisiana,Machine shop,
"It Straps On, Inc.",isostainless.com,Covington,Louisiana,Steel fabricator,sales@itstrapson.com
Superior Design & Fabrication LLC,superiordesignfab.com,Denham Springs,Louisiana,Metal fabricator,
Metal Coverings,metalcoveringsla.com,,,Metal fabricator,
Omega Industrial Services LLC,ois-fab.com,Hammond,Louisiana,Steel fabricator,estimating@ois-fab.com
"Custom Metal Fabricators, Inc",cmfab.net,Lake Charles,Louisiana,Metal fabricator,
Darbonne Specialty Welding,darbonnespecialtywelding.com,,,Metal fabricator,
Metal Outlet,metaloutlet.com,Sulphur,Louisiana,Metal fabricator,info@metaloutlet.com
Altium Packaging,altiumpkg.com,Kentwood,Louisiana,Plastic fabrication company,10085-customerservice@altiumpkg.com
ABX Innovative Packaging Solutions,abxpackaging.com,Homer,Louisiana,Plastic fabrication company,customerservice@abxpackaging.com
Renegade Fab LLC,renegadefabllc.com,Lockport,Louisiana,Metal fabricator,
Louisiana Tool & Die,latd-steel.com,Denham Springs,Louisiana,Machine shop,info@latd-steel.com
Bayou Fabricated Products Inc,bfpionline.com,Port Allen,Louisiana,Construction,biddrawings@bfpionline.com
Southland Steel Fabricators,southlandsteel.com,Greensburg,Louisiana,Steel fabricator,
Elliot - Shaw Bus staging,theshawgrp.com,Lake Charles,Louisiana,Steel fabricator,
Arc Flow Mechanical INC,arcflowmechanical.com,Loranger,Louisiana,Metal fabricator,
Guillot Fabrications,godaddysites.com,Pine Grove,Louisiana,Steel fabricator,
Woodward Millwork Group,woodwarddesignbuild.com,Covington,Louisiana,Millwork shop,design.group@woodwarddesignbuild.com
RMI Custom Iron,rmicustom.com,Walker,Louisiana,Metal fabricator,orders@rmicustom.com
"Fab-Worx Industrial, LLC",fab-worx.com,Port Allen,Louisiana,Manufacturer,contact@fab-worx.com
Patrick Fabricating & Welding,patrickfab.com,Abita Springs,Louisiana,Welder,
Con-Fab Engineering & Welding,con-fab.net,Shreveport,Louisiana,Steel fabricator,
Custom Metal Works,custommetalworksinc.com,Greenwell Springs,Louisiana,Sheet metal contractor,
Rayko Machine Sales Rayne,raykomachinesalesrayne.com,Rayne,Louisiana,Equipment supplier,
Orleans Custom Millwork,orleansmillwork.com,Covington,Louisiana,Millwork shop,info@orleansmillwork.com
Stallion Production Services,stallionoilfield.com,Haughton,Louisiana,Oilfield,
"B&J Metal Buildings, LLC",bjmetalbuildings.com,Baton Rouge,Louisiana,Steel fabricator,
"Fabrication Services, Inc.",heavysteelfabrication.com,Greenwell Springs,Louisiana,Steel fabricator,harold@heavysteelfabrication.com
Halk Marine Fabrication & Design,halkmarine.com,Covington,Louisiana,Metal fabricator,
Hughes Machine Shop,hughesmachineshop.com,Bogalusa,Louisiana,Machine shop,rwatkins@hughes.onmicrosoft.us
Celebrity Metal Manufacturing (CMM),celebritymetalmanufacturing.com,Hammond,Louisiana,Metal fabricator,sales@celebritymetals.com
"Superior Steel, Inc.",superiorsteelinc.com,Denham Springs,Louisiana,Steel fabricator,joeyeasley@superiorsteelinc.com
Pipe and Steel Industrial,pipeandsteelindustrial.com,Denham Springs,Louisiana,Construction company,
HUGHES MANUFACTURING,hughesmfg.net,Jennings,Louisiana,Agricultural machinery manufacturer,office@hughesmfg.net
Venable Fabricators,venablefabricators.com,Rayne,Louisiana,Welder,sales@venablefabricators.com
Price Machine Shop,pricemachineshop.com,Scott,Louisiana,Machine shop,sales@pricemachineshop.com
Greenberry Industrial - Jennings,greenberry.com,Jennings,Louisiana,Metal fabricator,ryan.percell@greenberry.com
B&C Sheet Metal Inc,bcsheetmetal.com,Denham Springs,Louisiana,Sheet metal contractor,nick.clark@bcsheetmetal.com
Southern Fabworks LLC,southernfabworks.com,Walker,Louisiana,Metal fabricator,tj@southernfabworks.com
Frdynamics,frdynamics.net,Terrytown,Louisiana,Metal fabricator,
Hub City Iron Works Inc,hubcityironworks.com,Rayne,Louisiana,Metal fabricator,
Allegiant Energy Services,aes-ok.com,Haughton,Louisiana,Oilfield,dispatch@aes-ok.com
Malin Welding and Fabrication,malinweldingandfabrication.com,Scott,Louisiana,Metal fabricator,
Thor Fabrication,thorfabrication.com,Franklinton,Louisiana,Metal fabricator,jschiro@thorfabrication.com
Jesco Environmental & Geo Tech,jescous.com,Jennings,Louisiana,Metal fabricator,
Kelly Pump & Supply,kellypump.com,Lake Charles,Louisiana,Machine shop,jnugent@kellypump.com
Delta Welding & Manufacturing,deltaweldingandmfg.com,Lake Providence,Louisiana,Metal fabricator,
AIM OILFIELD SERVICES,aimoilfieldservices.com,Scott,Louisiana,,
"Metal Fab Guys, LLC",metalfabguys.com,Walker,Louisiana,Manufacturer,
HADLEY Energy Services,hadleyenergy.net,Duson,Louisiana,Oil field equipment supplier,dispatcher@hadleyenergy.net
Dubois Sheet Metal Works Inc,duboissheetmetal.com,Lake Charles,Louisiana,Sheet metal contractor,
Superior Supply & Steel,supstl.com,Sulphur,Louisiana,Pipe supplier,bmcmillin@supstl.com
Superior Millworks,superiormillworks.com,Baton Rouge,Louisiana,Millwork shop,secretary@superiormillworks.com
Gator Millworks,gatormillworks.com,Denham Springs,Louisiana,Manufacturer,
Diamond Plastic Corporation,dpcpipe.com,Plaquemine,Louisiana,Plastic fabrication company,alysenko@dpcpipe.com
Sanders Machine Inc,sandersmachine.com,Sibley,Louisiana,Machine shop,
Plastics Distributors Co Inc,plasticsdist.com,New Orleans,Louisiana,Manufacturer,info@plasticsdist.com
Fabrication Resources,fab-res.com,Lake Charles,Louisiana,Manufacturer,
Gulf States Engineering Co Inc,gsengr.com,Covington,Louisiana,Engineer,info@gsengr.com
Reliable Production Services,reliableproduction.com,Livonia,Louisiana,Industrial equipment supplier,ddavid@reliableproduction.com
"Mueller, Inc.",muellerinc.com,Oak Grove,Louisiana,Steel fabricator,
"DeHart's Welding & Fabricating, LLC",dehartswelding.com,Abbeville,LA,Welder,
"Chromatic Oil Tools, LLC",chromaticindustries.com,Jennings,Louisiana,Manufacturer,
BMR Metal Works LLC,bmrmetals.com,Denham Springs,Louisiana,Sheet metal contractor,
Formosa Plastics Baton Rouge,fpcusa.com,Baton Rouge,Louisiana,Plastic fabrication company,poinquiry@fpcusa.com
Slade's Industrial Services Inc,sladeswelding.com,Port Allen,Louisiana,Welder,
Independent Offshore/Onsite Services,independentoffshoreservices.com,Baton Rouge,Louisiana,Oilfield,
Cetco Oilfield Services,cetcoenergyservices.com,Broussard,Louisiana,Oil & natural gas company,cetcoenergysales@mineralstech.com
Crown Oilfield Instrumentation,drillinginstruments.com,Maurice,Louisiana,Oilfield,sales@drillinginstruments.com
Scott Construction & Welding,hirescottconstruction.com,Bogalusa,Louisiana,Trucking company,noel@hirescottco.com
"B&B Oilfield Services, LLC",bboilfield.com,New Iberia,Louisiana,Oil & natural gas company,sales@bboilfield.com
Bullwin Industrial Services,bullwinindustrial.com,Lake Charles,Louisiana,Hydraulic repair service,kodywinch@bullwinindustrial.com
ExxonMobil Baton Rouge Polymers North - Plastics,exxonmobil.com,Baton Rouge,Louisiana,Plastic fabrication company,
TDW Services Inc,tdwilliamson.com,Baton Rouge,Louisiana,Oil field equipment supplier,lerindro@indosat.net.id
"Sun Coast Resources, LLC – A RelaDyne Company",suncoastresources.com,Baton Rouge,Louisiana,Oil field equipment supplier,sales@suncoastresources.com
"Lo-Vac, LLC",lo-vac.com,Lottie,Louisiana,Oil field equipment supplier,
Rob & Son Welding,robandsonwelding.com,Denham Springs,Louisiana,Welder,kaleb@robandsonwelding.com
Calcasieu Rentals Inc,calcasieurentals.com,Lake Charles,Louisiana,Oilfield,
"Valsource, a Vytl Company",valsource.net,Port Allen,Louisiana,Oil field equipment supplier,robyn.torre@vytlcontrols.com
Future Pipe Industries,futurepipe.com,Baton Rouge,Louisiana,Plastic fabrication company,sales-algeria@futurepipe.com
Prince Rubber & Plastics Co,princerp.com,Baton Rouge,Louisiana,Plastic fabrication company,contact@princerp.com
Best Deal Millworks,bestdealmillworks.net,Baton Rouge,Louisiana,Millwork shop,
DMC Safety & Industrial Supply,dmcsafetysupply.com,Westlake,Louisiana,Welding Supply Shop,wlsales@dmcsafety.com
Pelican State Millworks,psmillworks.com,,,Cabinet maker,info@mysite.com
All Star Cabinets & Millworks,allstarcabinets.com,Greenwell Springs,Louisiana,Cabinet maker,
Oilquip Inc,oilquip.com,Lake Charles,Louisiana,Hydraulic equipment supplier,sales@oilquip.com
"Edge Energy Consulting, LLC",edgeenergy.us,Lake Charles,Louisiana,Oilfield,
Premium Oilfield Services,premiumofs.com,New Iberia,Louisiana,Oil & natural gas company,
Southern Industrial Contractors,sicllc.net,Rayville,Louisiana,General contractor,applicants@sicllc.net
L D Welding Rim Repair Specialists,ldwelding.com,Greenwell Springs,Louisiana,Wheel store,
Fairchild Fabricators,fairchildfab.com,Greenwell Springs,Louisiana,Metal fabricator,
Reeves Ironworks,reevesironworks.com,West Monroe,Louisiana,Metal fabricator,
Big Easy Iron Works - New Orleans Iron Works Company,bigeasyironworks.com,New Orleans,Louisiana,Steel fabricator,info@bigeasyironworks.com
Brask Inc,ieeinc.net,Sulphur,Louisiana,Manufacturer,apply@braskinc.com
Randall's Welding Services,jwrandall.com,Keithville,Louisiana,Welder,
LyondellBasell,lyondellbasell.com,Westlake,Louisiana,Manufacturer,
ASAP Metal Components,asapmetal.com,Harvey,Louisiana,Steel fabricator,
Advanced Millworks Inc.,advancedmillworksinc.com,Duson,Louisiana,Stair contractor,
Monroe Rubber & Gasket,ragco.com,Monroe,Louisiana,Manufacturer,
David's Welding,ueniweb.com,Delhi,Louisiana,Metal fabricator,
Orleans Steel Building Material,orleanssteel.com,New Orleans,Louisiana,Steel fabricator,info@orleanssteel.com
Pumpelly Woodwork Company,pumpellywoodworkco.com,Lake Charles,Louisiana,Woodworker,
Kloeckner Metals,kloecknermetals.com,New Orleans,Louisiana,Steel fabricator,
Airgas Store,airgas.com,Monroe,Louisiana,Welding supply store,wecanhelp@airgas.com
Ram Fabricators / Job,ramfabricators.com,Baton Rouge,Louisiana,Steel fabricator,office@ramfabricators.com
Clariant Corporation,clariant.com,Stonewall,Louisiana,Plastic fabrication company,
Aluminum & Iron Works,aluminumironworks.com,Lake Charles,Louisiana,Metal fabricator,
"Bulk Pack, Inc.",bulk-pack.com,Monroe,Louisiana,Manufacturer,sales@bulk-pack.com
Welding Testing Laboratory Inc.,weldtest.com,Baton Rouge,Louisiana,Laboratory,
Westport Welding Innovation,westportwelding.com,New Orleans,Louisiana,Welder,admin@westportadditive.com
Poche Welding Inc,pochewelding.com,Marrero,Louisiana,Welder,karen@pochewelding.com
Advantec Manufacturing,advantecmfg.com,Baton Rouge,Louisiana,Machine shop,info@advantecmfg.com
Franco Fabrication & Design,francofab.com,New Orleans,Louisiana,Metal fabricator,dillon@francofab.com
ESI FABRICATION llc,esifab4u.com,New Iberia,Louisiana,Machining manufacturer,esisales@esifab4u.com
Elite Custom Coatings & Fabrication,squarespace.com,West Monroe,Louisiana,Metal fabricator,
CED Custom Equipment Design’s,cedpackaging.net,Monroe,Louisiana,Manufacturer,sales@cedpackaging.com
"Frenchs Welding & Marine Services, LLC",frenchswelding.com,Belle Chasse,Louisiana,Welder,mikefrench@frenchswelding.com
"Mezco Fabrication, LLC",mezcofab.com,Lafayette,Louisiana,Metal fabricator,
Superior Fabrication,superiorperformance.com,Lafayette,Louisiana,Steel fabricator,
Welding Louisiana,weldinglouisiana.com,,,Welder,
"Ace Machine Fabrication & Construction, LLC",acemachine.org,New Iberia,Louisiana,Machine shop,
True Fab LLC,truefabllc.com,Gonzales,Louisiana,Metal fabricator,
Tri City Pipe & Machine Inc,tricitypipe.com,Patterson,Louisiana,Machine shop,tcpipe@tricitypipe.com
Allied Materials & Equipment,alliedmaterials.com,Bogalusa,Louisiana,Manufacturer,asmith@alliedmaterials.com
Hooley Manufacturing,hooleyinc.com,New Orleans,Louisiana,Metal fabricator,sales@hooleyman.com
"Nitrogen Services, LLC",nitrogenservicesllc.com,Lake Charles,Louisiana,Oilfield,
Southern Precision Inc,southernprecision.com,St Rose,Louisiana,Machine shop,
DMI Contractors Inc,dmi-pipefabrication.com,Baton Rouge,Louisiana,Steel fabricator,
"Aluma-Fab Industries ll, Inc",alumafabindustries.com,Chalmette,Louisiana,Metal fabricator,
Cajun Cutters Inc.,cajuncutters.com,Houma,Louisiana,Machine shop,coordinator@cajuncutters.com
Climax Portable Machining and Welding Systems,climaxportable.com,Gonzales,Louisiana,Tool rental service,
Turner Industries Group LLC,turner-industries.com,Baton Rouge,Louisiana,Industrial engineer,benefits@turner-industries.com
Acadiana Shell & Limestone Inc,acadianalimestone.com,Krotz Springs,Louisiana,Oilfield,
"Parallel Welding Services, LLC",parallelweldllc.com,,,Welder,matt@parallelweld.com
Greenhouse Reinforced Plastic Sheeting,advancegreenhouses.com,Holly Ridge,Louisiana,Plastic fabrication company,
"EBI Machining, LLC",ebi-inc.com,Ponchatoula,LA,Machine shop,machining@ebi-inc.com
Fabricated Steel Products,fsp-usa.com,Baton Rouge,Louisiana,Construction,dentrekin@fabricatedsteel.net
Tactical Oil Field Products,tacticaloilfieldproducts.com,Jennings,Louisiana,Drilling contractor,tacticalinfo@tacticaloilfieldproducts.com
RNGD Manufacturing,rngd.com,Metairie,Louisiana,Metal fabricator,
Advanced Sheet Metal,advancedsheetmetal.net,Laplace,Louisiana,Sheet metal contractor,
Coastal States FFST,coastalstates.net,Morgan City,Louisiana,Metal fabricator,
Boland Marine & Industrial,bolandmarine.com,New Orleans,Louisiana,Machine shop,
E. Kraemer — Fine Metal & Woodwork,ekraemer.com,New Orleans,Louisiana,Metal fabricator,team@ekraemer.com
E J Fields Machine Works Inc,ejfieldsmachine.com,Morgan City,Louisiana,Machine shop,
RED Group Panel Fabrication Shop,red.group,Harahan,Louisiana,Automation company,resumes@red.group
J & B Machine Works Inc,jbmachworks.com,Kenner,Louisiana,Machine shop,info@jbmachworks.com
Hope Services Inc,hopeservicesinc.com,Dulac,Louisiana,Metal fabricator,
HJM Machine,hjmmachine.com,Harahan,Louisiana,Metal fabricator,
Meyers Machine & Welding Services,google.com,New Iberia,Louisiana,Welder,
H&R STEEL,hrsteelservice.com,Baton Rouge,Louisiana,Steel fabricator,hrsteel@hrsteelservice.com
Beacon Machine Services LLC,beaconmachineservices.com,New Iberia,Louisiana,Machine shop,info@beaconmachineservices.com
Gulf Coast Manufacturing,gulfcoastmfg.com,Gray,Louisiana,Manufacturer,
Marse Welding Supplies,marseweldingsuppliesinc.com,Metairie,Louisiana,Welding supply store,
Custom Fabrication Inc,custom-fab.com,Kenner,Louisiana,Sheet metal contractor,eric@custom-fab.com
Nugent Steel & Supply Co.,nugentsteel.com,Port Allen,Louisiana,Steel fabricator,
American Alloy Steel,aasteel.com,St Gabriel,Louisiana,Steel fabricator,
Around the way welding LLC,brand.site,,,Welder,
Fisher Manufacturing Services LLC,fishermanufacturingservices.com,Hammond,Louisiana,Machine shop,//www.google.com/maps/place/fisher+manufacturing+services+llc/@30.4378739
"Louisiana Offshore Welding, Rigging and Fitting",cgweldinginc.com,Houma,Louisiana,Contractor,
Fabricated Pipe Inc.,fabricatedpipe.com,Baton Rouge,Louisiana,General contractor,bids@fabricatedpipe.com
Community Steel,communitysteelco.com,Gonzales,Louisiana,Metal fabricator,
Specks Fabrication,specksfab.com,Thibodaux,Louisiana,Metal fabricator,specksfab@specksfab.com
Epic Piping Lake Providence,epicpiping.com,Lake Providence,Louisiana,Steel fabricator,
E & E Industrial Services Inc,eeindustrialservices.com,Gonzales,Louisiana,Metal fabricator,sales@eeindustrialservices.com
Armor Tech Metal,armortechmetal.com,Baton Rouge,Louisiana,Metal fabricator,
"L.A. Fabrication, LLC",lafabrication.com,Kenner,Louisiana,Metal fabricator,sherry@lafabrication.com
River Parish Machine Works Inc,riverparishmachine.com,St Amant,Louisiana,Machine shop,erika@riverparishmachine.com
Hercules Sheet Metal & Metal Buildings,corrugated-industries.com,Chalmette,Louisiana,Metal supplier,info@corrugatedind.com
Louisiana Cutting LLC,louisianacutting.com,Baton Rouge,Louisiana,Manufacturer,
New Orleans Machine & Fab,neworleansmachine.com,Jefferson,Louisiana,Machine shop,metalfab@nomachineandfab.com
Jehova Jireh Welding Services LLC,rriptiqy.elementor.cloud,Bridge City,Louisiana,Welder,
HotRodIronworks & Welding Services LLC,hriwelding.com,Kenner,Louisiana,Iron works,
